pollster,methodology,source,notes
"Public Policy Polling",IVR,web_research_2026,"Uses IVR automated questionnaire (AAPOR, Wikipedia)"
"Gallup",Live,web_research_2026,"Live interviewer, dual-frame landline+cell (Gallup.com)"
"American Research Group",Live,web_research_2026,"Live telephone interviews, landline+cell, address-based sampling since 2014 (ARG website, Wikipedia)"
"Research 2000",Unknown,web_research_2026,"No clear methodology information found - needs further research"
"Monmouth University",Live,web_research_2026,"Live phone to landlines+cells + online surveys via text/email (Monmouth website, Wikipedia)"
"Harris Interactive",Online,web_research_2026,"Online internet panel, multimillion members (Harris Interactive website)"
"Emerson College",IVR,web_research_2026,"IVR to landlines (2016), mixed IVR+online (2018+) (Emerson website, Ballotpedia)"
"University of New Hampshire",Live,web_research_2026,"40-station CATI system with trained live interviewers, RDD landline+cell (UNH Survey Center)"
"Gravis Marketing",IVR,web_research_2026,"Proprietary IVR system, mixed-mode with 70% IVR landline + 30% web panel to cell users (Gravis website)"
"CNN/Opinion Research",Live,web_research_2026,"Live telephone interviews (standard for CNN polls)"
"Quinnipiac University",Live,thesis_2010,"From thesis data (fuzzy match)"
"Marist College",Live,thesis_2010,"From thesis data (fuzzy match)"
"Suffolk University",Live,web_research_2026,"Live telephone interviews (university-based polling centers typically use live interviewers)"
"Siena College",Live,web_research_2026,"Live telephone interviews (university-based polling centers typically use live interviewers)"
"YouGov",Online,thesis_2010,"Internet panel (from thesis data)"
"Zogby Interactive",Online,thesis_2010,"Internet panel (from thesis data)"
"Zogby Analytics",Online,web_research_2026,"Internet and telephone (Zogby transitioned methods over time)"
"Strategic Vision",Live,web_research_2026,"Traditional polling firm using live interviewers"
