pollster,methodology,source,notes
ARG,Live,thesis_2010,
Alabama State University,Live,heuristic,name pattern: university(?! of phoenix)
American Research Group,Live,web_research_2026,"Live telephone interviews, landline+cell, address-based sampling since 2014 (ARG website, Wikipedia)"
Angus Reid Global,Online,web_research_2026,Known for online polling methodology
Anzalone-Liszt (D-DSCC),Live,thesis_2010,
Anzalone-Liszt (D-Melancon),Live,thesis_2010,
Arizona State University,Live,heuristic,name pattern: university(?! of phoenix)
BPN (D-DSCC),Live,thesis_2010,
BPN (D-Sestak),Live,thesis_2010,
Baltimore Sun/OpinionWorks,Live,thesis_2010,
Baruch College,Live,heuristic,name pattern: college
Basswood (R)/NRSC,Live,thesis_2010,
Benenson (D-Conway),Live,thesis_2010,
Benenson (D-DSCC),Live,thesis_2010,
Benenson (D-Lincoln),Live,thesis_2010,
Brigham Young University,Live,heuristic,name pattern: university(?! of phoenix)
Brown University,Live,heuristic,name pattern: university(?! of phoenix)
Brown University A. Alfred Taubman Center for American Politics and Policy,Live,heuristic,name pattern: university(?! of phoenix)
CBS/Times,Live,thesis_2010,
CN2 Politics/Braun,Live,thesis_2010,
CNN/Opinion Research,Live,web_research_2026,Live telephone interviews (standard for CNN polls)
CNN/Opinion Research Corp.,Live,fuzzy_match,matched to: cnn/opinion research
CNN/Opinion Research Corporation,Live,fuzzy_match,matched to: cnn/opinion research
CNN/Time,Live,thesis_2010,
CT Capitol Report/Merriman,IVR,thesis_2010,
"California State University, Bakersfield",Live,heuristic,name pattern: university(?! of phoenix)
Canisius College,Live,heuristic,name pattern: college
Castleton State College,Live,heuristic,name pattern: college
Castleton University,Live,heuristic,name pattern: university(?! of phoenix)
Centre College,Live,heuristic,name pattern: college
Chicago Tribune,Live,thesis_2010,
Christopher Newport University,Live,heuristic,name pattern: university(?! of phoenix)
Christopher Newport University Wason Center for Civic Leadership,Live,heuristic,name pattern: university(?! of phoenix)
Civitas Institute (R) / Tel Opinon (R),Live,thesis_2010,
Civitas Institute / Tel Opinon (R),Live,thesis_2010,
Civitas Institute/National Research (R),Live,thesis_2010,
Civitas Institute/Tel Opinon (R),Live,thesis_2010,
Clemson University,Live,heuristic,name pattern: university(?! of phoenix)
Craciun Research (D),Live,thesis_2010,
Critical Insights,Live,thesis_2010,
DailyKos.com/PPP (D),IVR,thesis_2010,
Dan Jones & Associates,Live,thesis_2010,
Dartmouth College,Live,heuristic,name pattern: college
"Davis, Hibbitts & Midghall",Live,thesis_2010,
Democracy Corps (D),Live,thesis_2010,
Denver Post/SurveyUSA,IVR,thesis_2010,
Des Moines Register/Selzer,Live,thesis_2010,
Deseret Morning News,Live,thesis_2010,
Dittman (R),Live,thesis_2010,
EPIC-MRA,Live,web_research_2026,Michigan-based polling firm - likely live phone (standard for regional firms)
Ed Renwick/Loyola University New Orleans,Live,heuristic,name pattern: university(?! of phoenix)
Elon University,Live,heuristic,name pattern: university(?! of phoenix)
Elway,Live,thesis_2010,
Emerson College,IVR,web_research_2026,"IVR to landlines (2016), mixed IVR+online (2018+) (Emerson website, Ballotpedia)"
FL Chamber of Commerce,Live,thesis_2010,
