pollster,methodology,source,notes
"Research 2000",Exclude,web_research_2026,"DISCREDITED - Data fabrication scandal 2010. Daily Kos lawsuit. Should be excluded from analysis."
"TCJ Research",Unknown,web_research_2026,"No public information found about methodology"
"SurveyMonkey",Online,web_research_2026,"Non-probability online panel (opt-in river sample). 335M+ panel with weighting."
"Greenberg Quinlan Rosner",Live,web_research_2026,"Live phone interviews including cell phones. Democratic consulting firm. High quality."
"Greenberg Quinlan Rosner (Democracy Corps)",Live,web_research_2026,"Live phone interviews including cell phones. Same as GQR."
"Los Angeles Times",Online,web_research_2026,"USC Dornsife partnership - probability-based online panel (Understanding America Study)"
"EPIC-MRA",Live,web_research_2026,"Michigan-based polling firm - likely live phone (standard for regional firms)"
"Mitchell Research",Live,web_research_2026,"Research firm - likely live phone (standard for established research firms)"
"RT Strategies",Live,web_research_2026,"Research firm - likely live phone"
"Pharos Research Group",Unknown,web_research_2026,"Limited public information"
"RAND Corporation",Online,web_research_2026,"Uses probability-based online panels for most research"
"Princeton Survey Research Associates",Live,web_research_2026,"Princeton SRAA - highly regarded live phone interviewing firm"
"Angus Reid Global",Online,web_research_2026,"Known for online polling methodology"
"George Washington University",Live,web_research_2026,"Battleground Poll - university-based, likely live phone with CATI"
"ccAdvertising",Unknown,web_research_2026,"Limited public information"
